epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,14493.1,0.52541,0.26554,0.83352,0.98463,0.97936,0.99357,0.9328,0.54167,0.24652,0.82712,0.001486,0.001486,0.001486
88,14656.4,0.52449,0.26507,0.83217,0.98405,0.97992,0.99357,0.93284,0.54144,0.24644,0.82703,0.001387,0.001387,0.001387
89,14819.4,0.52376,0.26361,0.8332,0.98374,0.98018,0.99357,0.93286,0.54108,0.24635,0.82694,0.001288,0.001288,0.001288
90,14982.3,0.52038,0.26205,0.83246,0.98184,0.98133,0.99357,0.93317,0.5408,0.24609,0.82691,0.001189,0.001189,0.001189
91,15143.5,0.50516,0.24391,0.82073,0.98075,0.983,0.99357,0.93299,0.54054,0.24611,0.82678,0.00109,0.00109,0.00109
92,15303.1,0.49971,0.24005,0.82153,0.98184,0.98187,0.99357,0.93297,0.54023,0.24591,0.82669,0.000991,0.000991,0.000991
93,15462.5,0.49549,0.23811,0.82152,0.98198,0.98196,0.99358,0.93309,0.53999,0.24568,0.82664,0.000892,0.000892,0.000892
94,15621.8,0.49155,0.23695,0.81916,0.98379,0.98065,0.99359,0.93312,0.53969,0.24548,0.82658,0.000793,0.000793,0.000793
95,15781.2,0.49049,0.2343,0.81959,0.98412,0.98033,0.99357,0.93326,0.53935,0.24538,0.82653,0.000694,0.000694,0.000694
96,15940.6,0.48818,0.23326,0.81793,0.98421,0.98045,0.99358,0.93348,0.53906,0.24517,0.82646,0.000595,0.000595,0.000595
97,16100,0.48828,0.23204,0.81934,0.98425,0.98056,0.99361,0.93358,0.53879,0.24512,0.8264,0.000496,0.000496,0.000496
98,16259.6,0.48276,0.22956,0.81707,0.9842,0.98078,0.99361,0.93362,0.5385,0.24495,0.82637,0.000397,0.000397,0.000397
99,16419.5,0.48177,0.22929,0.81732,0.98192,0.98275,0.99363,0.93374,0.53826,0.24475,0.82628,0.000298,0.000298,0.000298
100,16579,0.47676,0.22753,0.81501,0.98244,0.98219,0.99364,0.93402,0.53789,0.24451,0.82619,0.000199,0.000199,0.000199
